Station ID,Complex ID,Line,Stop Name,Borough,GTFS Latitude,GTFS Longitude
133,133,Canarsie,Atlantic Av,Bk,40.675345,-73.903097
25,636,Broadway,Jay St-MetroTech,Bk,40.69218,-73.985942
337,337,Eastern Pky,Nevins St,Bk,40.688246,-73.980492
134,134,Canarsie,Sutter Av,Bk,40.669367,-73.901975
40,617,Broadway - Brighton,Atlantic Av-Barclays Ctr,Bk,40.68446,-73.97689
364,364,Pelham,Zerega Av,Bx,40.836488,-73.847036
243,243,6th Av - Culver,Church Av,Bk,40.644041,-73.979678
57,57,Broadway - Brighton,W 8 St-NY Aquarium,Bk,40.576127,-73.975939
249,249,6th Av - Culver,Avenue P,Bk,40.608944,-73.973022
389,604,Jerome Av,161 St-Yankee Stadium,Bx,40.827994,-73.925831
436,436,Lenox - White Plains Rd,Harlem-148 St,M,40.82388,-73.93647
322,601,Broadway - 7Av,14 St,M,40.737826,-74.000201
206,206,Rockaway,Beach 44 St,Q,40.592943,-73.776013
431,431,Lenox - White Plains Rd,Intervale Av,Bx,40.822181,-73.896736
416,416,Lenox - White Plains Rd,Wakefield-241 St,Bx,40.903125,-73.85062
233,625,6th Av - Culver,Delancey St-Essex St,M,40.718611,-73.988114
81,81,Jamaica,111 St,Q,40.697418,-73.836345
254,254,Queens Blvd,Jamaica-179 St,Q,40.712646,-73.783817
372,372,Pelham,Longwood Av,Bx,40.816104,-73.896435
308,308,Broadway - 7Av,Cathedral Pkwy (110 St),M,40.803967,-73.966847
9,9,Broadway - Brighton,57 St-7 Av,M,40.764664,-73.980658
365,365,Pelham,Castle Hill Av,Bx,40.834255,-73.851222
68,68,West End,Bay Pkwy,Bk,40.601875,-73.993728
394,394,Lexington Av,110 St,M,40.79502,-73.94425
333,333,Clark St,Wall St,M,40.706821,-74.0091
201,201,Rockaway,Beach 98 St,Q,40.585307,-73.820558
10,10,Broadway - Brighton,49 St,M,40.759901,-73.984139
220,220,Concourse,155 St,M,40.830135,-73.938209
516,516,Staten Island,Huguenot,SI,40.533674,-74.191794
350,350,Eastern Pky,Pennsylvania Av,Bk,40.664635,-73.894895
458,458,Flushing,46 St-Bliss St,Q,40.743132,-73.918435
426,426,Lenox - White Plains Rd,E 180 St,Bx,40.841894,-73.873488
384,384,Jerome Av,Burnside Av,Bx,40.853453,-73.907684
476,476,Second Av,86 St,M,40.777891,-73.951787
276,276,Queens Blvd,5 Av/53 St,M,40.760167,-73.975224
286,286,Crosstown,Broadway,Bk,40.706092,-73.950308
161,614,8th Av - Fulton St,59 St-Columbus Circle,M,40.768296,-73.981736
21,624,Broadway,Cortlandt St,M,40.710668,-74.011029
421,421,Lenox - White Plains Rd,Gun Hill Rd,Bx,40.87785,-73.866256
318,318,Broadway - 7Av,34 St-Penn Station,M,40.750373,-73.991057
53,53,Broadway - Brighton,Neck Rd,Bk,40.595246,-73.955161
192,192,Liberty Av,Rockaway Blvd,Q,40.680429,-73.843853
36,36,4th Av,Bay Ridge Av,Bk,40.634967,-74.023377
58,58,Sea Beach / West End / Culver / Brighton,Coney Island-Stillwell Av,Bk,40.577422,-73.981233
399,399,Lexington Av,68 St-Hunter College,M,40.768141,-73.96387
269,269,Queens Blvd,Northern Blvd,Q,40.752885,-73.906006
138,138,Canarsie,Canarsie-Rockaway Pkwy,Bk,40.646654,-73.90185
166,618,8th Av - Fulton St,14 St,M,40.740893,-74.00169
281,606,Crosstown,Court Sq,Q,40.746554,-73.943832
340,340,Eastern Pky,Grand Army Plaza,Bk,40.675235,-73.971046
96,96,Jamaica,Kosciuszko St,Bk,40.693342,-73.928814
229,601,6th Av - Culver,14 St,M,40.738228,-73.996209
113,113,Myrtle Av,Knickerbocker Av,Bk,40.698664,-73.919711
376,376,Pelham,Brook Av,Bx,40.807566,-73.91924
197,197,Rockaway,Aqueduct-N Conduit Av,Q,40.668234,-73.834058
511,511,Staten Island,Oakwood Heights,SI,40.56511,-74.12632
313,313,Broadway - 7Av,72 St,M,40.778453,-73.98197
64,64,West End,71 St,Bk,40.619589,-73.998864
345,345,Eastern Pky,Crown Hts-Utica Av,Bk,40.668897,-73.932942
453,453,Flushing,82 St-Jackson Hts,Q,40.747659,-73.883697
90,90,Jamaica,Van Siclen Av,Bk,40.678024,-73.891688
122,122,Canarsie,Graham Av,Bk,40.714565,-73.944053
85,85,Jamaica,75 St-Elderts Ln,Q,40.691324,-73.867139
448,448,Flushing,Mets-Willets Point,Q,40.754622,-73.845625
409,409,Lexington Av,Spring St,M,40.722301,-73.997141
224,224,6th Av - Culver,57 St,M,40.763972,-73.97745
441,441,Lenox - White Plains Rd,110 St-Malcolm X Plaza,M,40.799075,-73.951822
157,157,8th Av - Fulton St,96 St,M,40.791642,-73.964696
32,32,4th Av,36 St,Bk,40.655144,-74.003549
257,257,Queens Blvd,Sutphin Blvd,Q,40.70546,-73.810708
188,188,8th Av - Fulton St,Euclid Av,Bk,40.675377,-73.872106
17,17,Broadway - Brighton,Prince St,M,40.724329,-73.997702
301,301,Broadway - 7Av,181 St,M,40.849505,-73.933596
506,506,Staten Island,Old Town,SI,40.596612,-74.087368
169,169,8th Av - Fulton St,Canal St,M,40.720824,-74.005229
143,143,8th Av - Fulton St,Inwood-207 St,M,40.868072,-73.919899
49,49,Broadway - Brighton,Avenue J,Bk,40.625039,-73.960803
357,357,Nostrand,Beverly Rd,Bk,40.645098,-73.948959
452,452,Flushing,90 St-Elmhurst Av,Q,40.748408,-73.876613
100,100,Jamaica,Hewes St,Bk,40.70687,-73.953431
380,380,Jerome Av,Bedford Park Blvd-Lehman College,Bx,40.873412,-73.890064
117,602,Canarsie,14 St-Union Sq,M,40.734789,-73.99073
125,125,Canarsie,Morgan Av,Bk,40.706152,-73.933147
225,225,6th Av - Culver,47-50 Sts-Rockefeller Ctr,M,40.758663,-73.981329
462,606,Flushing,Court Sq,Q,40.747023,-73.945264
325,325,Broadway - 7Av,Canal St,M,40.722854,-74.006277
193,193,Liberty Av,104 St,Q,40.681711,-73.837683
105,622,Jamaica,Chambers St,M,40.713243,-74.003401
118,118,Canarsie,3 Av,M,40.732849,-73.986122
212,212,Concourse,Kingsbridge Rd,Bx,40.866978,-73.893509
344,344,Eastern Pky,Kingston Av,Bk,40.669399,-73.942161
22,22,Broadway,Rector St,M,40.70722,-74.013342
86,86,Jamaica,Cypress Hills,Bk,40.689941,-73.87255
173,173,8th Av - Fulton St,High St,Bk,40.699337,-73.990531
261,261,Queens Blvd,Forest Hills-71 Av,Q,40.721691,-73.844521
130,130,Canarsie,Wilson Av,Bk,40.688764,-73.904046
289,289,Crosstown,Bedford-Nostrand Avs,Bk,40.689627,-73.953522
