GTFS Stop ID,Stop Name,Borough,zone
110,191 St,M,Washington Heights North
G09,67 Av,Q,Forest Hills
A51,Broadway Junction,Bk,Ocean Hill
R01,Astoria-Ditmars Blvd,Q,Steinway
246,Newkirk Av-Little Haiti,Bk,East Flatbush/Farragut
L15,Jefferson St,Bk,Bushwick North
725,Times Sq-42 St,M,Garment District
S25,Dongan Hills,SI,South Beach/Dongan Hills
H01,Aqueduct Racetrack,Q,South Ozone Park
J22,Cleveland St,Bk,East New York
A20,86 St,M,Central Park
A57,Grant Av,Bk,Cypress Hills
G15,65 St,Q,Woodside
D34,Avenue M,Bk,Midwood
103,238 St,Bx,Spuyten Duyvil/Kingsbridge
238,Eastern Pkwy-Brooklyn Museum,Bk,Prospect Park
637,Bleecker St,M,Greenwich Village South
D29,Beverley Rd,Bk,Flatbush/Ditmas Park
705,111 St,Q,North Corona
A15,125 St,M,Morningside Heights
D18,23 St,M,Union Sq
419,Wall St,M,Financial District North
N08,Kings Hwy,Bk,Bensonhurst East
115,137 St-City College,M,Manhattanville
226,116 St,M,Central Harlem
136,Franklin St,M,TriBeCa/Civic Center
410,176 St,Bx,University Heights/Morris Heights
D14,7 Av,M,Times Sq/Theatre District
D08,174-175 Sts,Bx,Mount Hope
M20,Canal St,M,Little Italy/NoLiTa
L10,Lorimer St,Bk,Williamsburg (South Side)
A30,23 St,M,Flatiron
A46,Nostrand Av,Bk,Crown Heights North
N03,Fort Hamilton Pkwy,Bk,Borough Park
504,Pelham Pkwy,Bx,Allerton/Pelham Gardens
R06,36 Av,Q,Astoria
D03,Bedford Park Blvd,Bx,Bedford Park
619,3 Av-138 St,Bx,Mott Haven/Port Morris
M10,Central Av,Bk,Bushwick South
242,Sterling St,Bk,Prospect-Lefferts Gardens
F22,Smith-9 Sts,Bk,Gowanus
611,Elder Av,Bx,West Farms/Bronx River
Q05,96 St,M,East Harlem South
229,Fulton St,M,Financial District North
S29,Stapleton,SI,Stapleton
M04,Fresh Pond Rd,Q,Ridgewood
A10,163 St-Amsterdam Av,M,Washington Heights South
R30,DeKalb Av,Bk,Fort Greene
633,28 St,M,Union Sq
119,103 St,M,Manhattan Valley
B04,21 St-Queensbridge,Q,Queensbridge/Ravenswood
204,Nereid Av,Bx,Woodlawn/Wakefield
J14,104 St,Q,Richmond Hill
L24,Atlantic Av,Bk,East New York/Pennsylvania Avenue
R29,Jay St-MetroTech,Bk,Downtown Brooklyn/MetroTech
234,Nevins St,Bk,Fort Greene
L25,Sutter Av,Bk,Brownsville
D24,Atlantic Av-Barclays Ctr,Bk,Fort Greene
606,Zerega Av,Bx,Westchester Village/Unionport
F27,Church Av,Bk,Kensington
D42,W 8 St-NY Aquarium,Bk,Coney Island
F34,Avenue P,Bk,Ocean Parkway South
414,161 St-Yankee Stadium,Bx,West Concourse
301,Harlem-148 St,M,Central Harlem North
132,14 St,M,West Village
H08,Beach 44 St,Q,Hammels/Arverne
218,Intervale Av,Bx,Longwood
201,Wakefield-241 St,Bx,Woodlawn/Wakefield
F15,Delancey St-Essex St,M,Lower East Side
J13,111 St,Q,Richmond Hill
F01,Jamaica-179 St,Q,Jamaica
614,Longwood Av,Bx,Longwood
118,Cathedral Pkwy (110 St),M,Bloomingdale
R14,57 St-7 Av,M,Midtown North
607,Castle Hill Av,Bx,Westchester Village/Unionport
B21,Bay Pkwy,Bk,Bensonhurst West
623,110 St,M,East Harlem South
230,Wall St,M,Financial District North
H13,Beach 98 St,Q,Rockaway Park
R15,49 St,M,Times Sq/Theatre District
D12,155 St,M,Central Harlem North
S16,Huguenot,SI,Eltingville/Annadale/Prince's Bay
255,Pennsylvania Av,Bk,East New York/Pennsylvania Avenue
714,46 St-Bliss St,Q,Sunnyside
213,E 180 St,Bx,East Tremont
409,Burnside Av,Bx,University Heights/Morris Heights
Q04,86 St,M,Yorkville West
F12,5 Av/53 St,M,Midtown Center
G30,Broadway,Bk,East Williamsburg
A24,59 St-Columbus Circle,M,Lincoln Square East
R25,Cortlandt St,M,World Trade Center
208,Gun Hill Rd,Bx,Williamsbridge/Olinville
128,34 St-Penn Station,M,Penn Station/Madison Sq West
D38,Neck Rd,Bk,Sheepshead Bay
A61,Rockaway Blvd,Q,Ozone Park
R42,Bay Ridge Av,Bk,Bay Ridge
D43,Coney Island-Stillwell Av,Bk,Coney Island
628,68 St-Hunter College,M,Upper East Side South
G16,Northern Blvd,Q,Woodside
L29,Canarsie-Rockaway Pkwy,Bk,Canarsie
A31,14 St,M,Flatiron
G22,Court Sq,Q,Long Island City/Hunters Point
