w_geocode,segment,year,C000,CE01,CE02,CE03
060730010004002,S000,2023,26,6,8,12
060730010004003,S000,2023,28,3,5,20
060730010004004,S000,2023,5,1,3,1
060730010004005,S000,2023,192,40,30,122
060730010004006,S000,2023,159,22,42,95
060730010004007,S000,2023,100,18,13,69
060730011001000,S000,2023,308,25,99,184
060730011001001,S000,2023,311,77,51,183
060730011001005,S000,2023,113,19,50,44
060730011001006,S000,2023,24,5,9,10
060730011002000,S000,2023,20,12,4,4
060730011002001,S000,2023,89,15,19,55
060730011002002,S000,2023,11,5,0,6
060730011002003,S000,2023,21,2,3,16
060730011002004,S000,2023,145,21,58,66
060730011002005,S000,2023,145,56,62,27
060730011002006,S000,2023,15,4,9,2
060730011003000,S000,2023,52,12,10,30
060730011003001,S000,2023,17,2,3,12
060730011003003,S000,2023,3,2,1,0
060730011003004,S000,2023,7,1,3,3
060730011003005,S000,2023,8,1,5,2
060730012011001,S000,2023,10,5,2,3
060730012011002,S000,2023,20,6,8,6
060730012011005,S000,2023,11,1,5,5
060730012011006,S000,2023,7,2,5,0
060730012011008,S000,2023,18,4,8,6
060730012012000,S000,2023,20,6,8,6
060730012012001,S000,2023,58,11,24,23
060730012012002,S000,2023,13,2,6,5
060730012012003,S000,2023,64,6,28,30
060730012012004,S000,2023,118,24,49,45
060730012012005,S000,2023,104,31,45,28
060730012021000,S000,2023,3,0,3,0
060730012021001,S000,2023,34,4,4,26
060730012021002,S000,2023,3,0,1,2
060730012021003,S000,2023,5,0,2,3
060730012021004,S000,2023,99,31,52,16
060730012021005,S000,2023,113,45,59,9
060730012022000,S000,2023,1,1,0,0
060730012022001,S000,2023,10,2,4,4
060730012022002,S000,2023,6,4,2,0
060730012022003,S000,2023,3,2,0,1
060730012022004,S000,2023,2,2,0,0
060730012022005,S000,2023,58,4,12,42
060730012022006,S000,2023,10,1,3,6
060730012022007,S000,2023,3,1,2,0
060730012022008,S000,2023,83,25,49,9
060730012022009,S000,2023,5,0,3,2
060730012022010,S000,2023,35,2,22,11
060730013011000,S000,2023,13,0,7,6
060730013011001,S000,2023,28,12,15,1
060730013011002,S000,2023,40,12,17,11
060730013011003,S000,2023,18,2,13,3
060730013011004,S000,2023,14,4,4,6
060730013011005,S000,2023,23,7,8,8
060730013011009,S000,2023,7,2,0,5
060730013011010,S000,2023,2,0,1,1
060730013011011,S000,2023,2,1,1,0
060730013011012,S000,2023,2,0,2,0
060730013011013,S000,2023,206,37,82,87
060730013011014,S000,2023,71,20,32,19
060730013011015,S000,2023,5,1,0,4
060730013012000,S000,2023,3,1,1,1
060730013012001,S000,2023,2,0,1,1
060730013012003,S000,2023,38,4,18,16
060730013012004,S000,2023,2,1,1,0
060730013012005,S000,2023,69,29,16,24
060730013012006,S000,2023,197,47,65,85
060730013012007,S000,2023,2,0,0,2
060730013012008,S000,2023,29,10,13,6
060730013012009,S000,2023,176,70,50,56
060730013012010,S000,2023,124,12,30,82
060730013012011,S000,2023,53,14,26,13
060730013012012,S000,2023,111,30,43,38
060730013012013,S000,2023,61,18,24,19
060730013012014,S000,2023,12,3,3,6
060730013012015,S000,2023,55,13,23,19
060730013021000,S000,2023,23,2,6,15
060730013021001,S000,2023,2,2,0,0
060730013021002,S000,2023,6,0,1,5
060730013021003,S000,2023,6,4,2,0
060730013021004,S000,2023,5,1,3,1
060730013022000,S000,2023,86,28,32,26
060730013022001,S000,2023,82,36,42,4
060730013022003,S000,2023,33,4,18,11
060730013022004,S000,2023,35,14,11,10
060730013022005,S000,2023,6,1,0,5
060730013022006,S000,2023,6,0,5,1
060730013022007,S000,2023,2,1,1,0
060730013022008,S000,2023,3,2,0,1
060730013023000,S000,2023,12,4,3,5
060730013023001,S000,2023,77,15,18,44
060730013023002,S000,2023,38,5,25,8
060730013023003,S000,2023,64,12,26,26
060730013023004,S000,2023,19,11,3,5
060730014001000,S000,2023,228,46,88,94
060730014001001,S000,2023,205,45,74,86
060730014001002,S000,2023,87,16,38,33
060730014001003,S000,2023,109,53,28,28
060730014001004,S000,2023,54,17,23,14
060730014001005,S000,2023,5,5,0,0
060730014001006,S000,2023,4,0,1,3
060730014001007,S000,2023,61,18,12,31
060730014001008,S000,2023,72,21,34,17
060730014001009,S000,2023,4,3,0,1
060730014001010,S000,2023,4,0,2,2
060730014001011,S000,2023,6,0,2,4
060730014001012,S000,2023,1,0,1,0
060730014001013,S000,2023,31,16,5,10
060730014001014,S000,2023,26,13,4,9
060730014001016,S000,2023,2,0,0,2
060730014001017,S000,2023,4,2,2,0
060730014001019,S000,2023,27,1,9,17
060730014001020,S000,2023,41,15,19,7
060730014002000,S000,2023,38,10,11,17
060730014002001,S000,2023,36,5,5,26
060730014002002,S000,2023,2,0,1,1
060730014002003,S000,2023,1,0,1,0
060730014002006,S000,2023,117,6,5,106
060730014002007,S000,2023,46,16,14,16
060730014002009,S000,2023,1,0,1,0
060730014002010,S000,2023,1,0,0,1
060730014002011,S000,2023,37,10,14,13
060730014002012,S000,2023,35,1,1,33
060730014002013,S000,2023,79,16,30,33
060730014002015,S000,2023,2,0,0,2
060730014002019,S000,2023,2,0,2,0
060730014002020,S000,2023,6,1,2,3
060730014003000,S000,2023,91,18,29,44
060730014003001,S000,2023,20,2,1,17
060730014003002,S000,2023,41,4,5,32
060730014003003,S000,2023,19,7,4,8
060730014003004,S000,2023,27,4,9,14
060730014003005,S000,2023,6,2,2,2
060730014003006,S000,2023,12,0,1,11
060730014003007,S000,2023,2,0,0,2
060730014003008,S000,2023,2,0,2,0
060730014003011,S000,2023,2,0,1,1
060730014003012,S000,2023,12,0,3,9
060730014003013,S000,2023,1,0,0,1
060730014003014,S000,2023,3,1,0,2
060730014003015,S000,2023,17,0,7,10
060730014003017,S000,2023,6,1,2,3
060730014003018,S000,2023,3,2,0,1
060730014003019,S000,2023,4,0,4,0
060730014003021,S000,2023,2,1,0,1
060730015001000,S000,2023,2,0,1,1
060730015001001,S000,2023,3,0,1,2
060730015001002,S000,2023,12,6,4,2
060730015001003,S000,2023,188,29,57,102
060730015001004,S000,2023,4,0,4,0
060730015001007,S000,2023,2,0,0,2
060730015001008,S000,2023,1,1,0,0
060730015001013,S000,2023,3,0,1,2
060730015001014,S000,2023,42,22,7,13
060730015002000,S000,2023,3,0,0,3
060730015002001,S000,2023,5,2,0,3
060730015002003,S000,2023,6,3,2,1
060730015002004,S000,2023,32,10,7,15
060730015002005,S000,2023,10,1,0,9
060730015002006,S000,2023,8,0,0,8
060730015002007,S000,2023,2,1,1,0
060730015002008,S000,2023,1,0,0,1
060730015002009,S000,2023,5,0,0,5
060730015002010,S000,2023,1,0,1,0
060730015002011,S000,2023,1,0,0,1
060730015003001,S000,2023,1,0,1,0
060730015003004,S000,2023,2,0,1,1
060730015003005,S000,2023,2,1,0,1
060730015003006,S000,2023,16,7,4,5
060730015003008,S000,2023,6,6,0,0
060730015003011,S000,2023,10,1,2,7
060730015003014,S000,2023,1,0,0,1
060730015003015,S000,2023,4,0,1,3
060730015004000,S000,2023,36,8,12,16
060730015004001,S000,2023,57,12,20,25
060730015004002,S000,2023,20,5,11,4
060730015004003,S000,2023,1,0,0,1
060730015004004,S000,2023,7,2,2,3
060730015004005,S000,2023,51,7,21,23
060730015004006,S000,2023,15,6,7,2
060730015004007,S000,2023,12,3,5,4
060730015004008,S000,2023,2,1,1,0
060730015004009,S000,2023,21,6,4,11
060730015004010,S000,2023,1,0,1,0
060730016001000,S000,2023,5,1,4,0
060730016001001,S000,2023,25,7,16,2
060730016001002,S000,2023,11,2,6,3
060730016001003,S000,2023,3,0,3,0
060730016001004,S000,2023,18,6,10,2
060730016001005,S000,2023,3,0,3,0
060730016001006,S000,2023,67,10,17,40
060730016001008,S000,2023,1,1,0,0
060730016001009,S000,2023,4,1,1,2
060730016001010,S000,2023,14,7,6,1
060730016001011,S000,2023,1,0,1,0
060730016001012,S000,2023,3,1,2,0
060730016002001,S000,2023,3,1,2,0
060730016002002,S000,2023,2,0,2,0
060730016002004,S000,2023,20,2,17,1
060730016002005,S000,2023,7,1,2,4
060730016002008,S000,2023,10,3,3,4
060730016002009,S000,2023,14,3,5,6
060730016002010,S000,2023,14,1,2,11
060730016002011,S000,2023,1,0,1,0
060730016002012,S000,2023,5,3,2,0
060730016002013,S000,2023,14,2,11,1
060730016003000,S000,2023,138,33,75,30
060730016003003,S000,2023,4,1,2,1
060730016003004,S000,2023,3,3,0,0
060730016003006,S000,2023,1,1,0,0
060730016003007,S000,2023,14,5,9,0
060730016003008,S000,2023,24,8,11,5
060730016004001,S000,2023,41,5,9,27
060730016004004,S000,2023,3,0,2,1
060730016004005,S000,2023,1,0,1,0
060730016004006,S000,2023,7,2,2,3
060730016004007,S000,2023,3,2,1,0
060730016004008,S000,2023,30,8,15,7
060730016004009,S000,2023,13,4,3,6
060730016004011,S000,2023,8,1,6,1
060730016004012,S000,2023,203,22,36,145
060730017001000,S000,2023,23,2,4,17
060730017001001,S000,2023,3,0,3,0
060730017001003,S000,2023,14,3,1,10
060730017001004,S000,2023,2,2,0,0
060730017001005,S000,2023,1,0,1,0
060730017001007,S000,2023,3,0,3,0
060730017001008,S000,2023,2,2,0,0
060730017001010,S000,2023,1,0,0,1
060730017001012,S000,2023,26,1,17,8
060730017001013,S000,2023,13,0,1,12
060730017001014,S000,2023,5,3,2,0
060730017002001,S000,2023,2,0,2,0
060730017002002,S000,2023,2,0,0,2
060730017002004,S000,2023,1,1,0,0
060730017002005,S000,2023,6,2,2,2
060730017002006,S000,2023,1,0,1,0
060730017002007,S000,2023,3,2,0,1
060730017002008,S000,2023,3,1,2,0
060730017002009,S000,2023,7,3,2,2
060730017002010,S000,2023,1,0,0,1
060730017002011,S000,2023,10,2,7,1
060730017002012,S000,2023,94,8,12,74
060730017002013,S000,2023,2,1,1,0
060730017002014,S000,2023,1,0,0,1
060730017003000,S000,2023,20,0,2,18
060730017003001,S000,2023,3,3,0,0
060730017003002,S000,2023,1,0,0,1
060730017003003,S000,2023,2,2,0,0
060730017003004,S000,2023,3,1,2,0
060730017003005,S000,2023,3,2,1,0
060730017003006,S000,2023,4,2,2,0
060730017003007,S000,2023,9,4,4,1
060730017003008,S000,2023,1,0,0,1
060730017003009,S000,2023,5,2,3,0
060730017003010,S000,2023,2,1,1,0
060730017003011,S000,2023,6,2,3,1
060730017003013,S000,2023,70,14,24,32
060730017003014,S000,2023,13,6,4,3
060730017004000,S000,2023,2,0,2,0
060730017004001,S000,2023,2,1,0,1
060730017004002,S000,2023,4,1,3,0
060730017004003,S000,2023,4,3,1,0
060730017004004,S000,2023,1,1,0,0
060730017004006,S000,2023,7,0,4,3
060730018011001,S000,2023,3,2,0,1
060730018011002,S000,2023,75,6,20,49
060730018011005,S000,2023,3,2,1,0
060730018011006,S000,2023,26,5,8,13
060730018011007,S000,2023,28,9,9,10
060730018011008,S000,2023,41,8,21,12
060730018011009,S000,2023,3,0,0,3
060730018011010,S000,2023,1,0,1,0
060730018011011,S000,2023,1,0,0,1
060730018012000,S000,2023,3,2,1,0
060730018012001,S000,2023,7,5,1,1
060730018012003,S000,2023,28,8,7,13
060730018012004,S000,2023,14,2,3,9
060730018012006,S000,2023,133,14,59,60
060730018012008,S000,2023,4,3,1,0
060730018012009,S000,2023,4,1,1,2
060730018012011,S000,2023,1,0,1,0
060730018012012,S000,2023,6,0,4,2
060730018012014,S000,2023,2,0,2,0
060730018012015,S000,2023,3,0,2,1
060730018012016,S000,2023,3,1,0,2
060730018012017,S000,2023,1,1,0,0
060730018021000,S000,2023,62,9,10,43
